what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1496245095005
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1496245095005
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1496245095006
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1496245095006
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1496245095007
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1496245095007
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1496245095007
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1496245095008
os,sysinfo,,,"win32",1496245095010
arch,sysinfo,,,"x86_64",1496245095010
ws,sysinfo,,,"win32",1496245095010
locale,sysinfo,,,"zh_CN",1496245095010
processors,sysinfo,,,"8",1496245095010
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1496245095010
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1496245095010
java.specification.name,sysinfo,,,"Java Platform API Specification",1496245095010
java.specification.vendor,sysinfo,,,"Oracle Corporation",1496245095010
java.specification.version,sysinfo,,,"1.8",1496245095010
java.vendor,sysinfo,,,"Oracle Corporation",1496245095010
java.version,sysinfo,,,"1.8.0_131",1496245095010
java.vm.info,sysinfo,,,"mixed mode",1496245095010
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1496245095010
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1496245095010
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1496245095010
java.vm.specification.version,sysinfo,,,"1.8",1496245095010
java.vm.vendor,sysinfo,,,"Oracle Corporation",1496245095010
